model_name,patch_size,sharp_threshold,blur_threshold,PCA_components,sample_percentage,max_depth,min_samples_split,min_samples_leaf,class_weight,random_state,cpu_core,img_load_time,x_before,pca_time,x_after,train_time,accuracy,accuracy_support,class0_precision,class0_recall,class0_f1,class0_support,class1_precision,class1_recall,class1_f1,class1_support,macro_p,macro_r,macro_f1,macro_support,weighted_precision,weighted_recall,weighted_f1,weighted_support,cm_tn,cm_fp,cm_fn,cm_tp,cm_size,cm_r0_c0,cm_r0_c1,cm_r1_c0,cm_r1_c1
Decision Tree,32,0.75,0.75,0.995,20,16,50,20,balanced,42,5,7.69,"(127631, 1024)",5.97,"(127631, 107)",17.98,0.91,136070,0.98,0.92,0.95,121405,0.57,0.87,0.69,14665,0.77,0.89,0.82,136070,0.94,0.91,0.92,136070,111657,9748,1918,12747,2,111657,9748,1918,12747
Decision Tree,32,0.75,0.75,0.995,40,16,50,20,balanced,42,5,14.07,"(255261, 1024)",11.52,"(255261, 108)",38.77,0.92,136070,0.99,0.92,0.95,121405,0.57,0.89,0.7,14665,0.78,0.9,0.82,136070,0.94,0.92,0.92,136070,111713,9692,1635,13030,2,111713,9692,1635,13030
Decision Tree,32,0.75,0.75,0.995,60,16,50,20,balanced,42,5,21.55,"(382892, 1024)",17.76,"(382892, 109)",60.58,0.92,136070,0.99,0.92,0.95,121405,0.59,0.89,0.71,14665,0.79,0.91,0.83,136070,0.94,0.92,0.93,136070,112240,9165,1578,13087,2,112240,9165,1578,13087
Decision Tree,32,0.75,0.75,0.995,80,16,50,20,balanced,42,5,50.25,"(510522, 1024)",22.52,"(510522, 108)",81.44,0.92,136070,0.99,0.92,0.95,121405,0.59,0.9,0.71,14665,0.79,0.91,0.83,136070,0.94,0.92,0.93,136070,112232,9173,1440,13225,2,112232,9173,1440,13225
Decision Tree,32,0.75,0.75,0.995,100,16,50,20,balanced,42,5,37.69,"(638153, 1024)",27.62,"(638153, 108)",103.48,0.92,136070,0.99,0.93,0.96,121405,0.59,0.9,0.71,14665,0.79,0.91,0.83,136070,0.94,0.92,0.93,136070,112309,9096,1481,13184,2,112309,9096,1481,13184
