model_name,patch_size,sharp_threshold,blur_threshold,PCA_components,sample_percentage,nystroem_components,nystroem_kernel,nystroem_gamma,random_state,svc_c,class_weight,max_iter,cpu_core,img_load_time,x_before,pca_time,x_after,train_time,accuracy,accuracy_support,class0_precision,class0_recall,class0_f1,class0_support,class1_precision,class1_recall,class1_f1,class1_support,macro_p,macro_r,macro_f1,macro_support,weighted_precision,weighted_recall,weighted_f1,weighted_support,cm_tn,cm_fp,cm_fn,cm_tp,cm_size,cm_r0_c0,cm_r0_c1,cm_r1_c0,cm_r1_c1
SVM,32,0.75,0.75,0.995,20,300,rbf,,42,1.0,balanced,5000,5,2.19,"(127631, 1024)",5.81,"(127631, 107)",3.64,0.93,136070,1.0,0.92,0.96,121405,0.59,0.97,0.74,14665,0.8,0.94,0.85,136070,0.95,0.93,0.93,136070,111742,9663,488,14177,2,111742,9663,488,14177
SVM,32,0.75,0.75,0.995,40,300,rbf,,42,1.0,balanced,5000,5,13.84,"(255261, 1024)",11.61,"(255261, 108)",7.66,0.93,136070,1.0,0.92,0.96,121405,0.6,0.97,0.74,14665,0.8,0.94,0.85,136070,0.95,0.93,0.93,136070,111795,9610,457,14208,2,111795,9610,457,14208
SVM,32,0.75,0.75,0.995,60,300,rbf,,42,1.0,balanced,5000,5,20.96,"(382892, 1024)",17.1,"(382892, 109)",11.98,0.93,136070,1.0,0.92,0.96,121405,0.6,0.97,0.74,14665,0.8,0.94,0.85,136070,0.95,0.93,0.93,136070,111986,9419,494,14171,2,111986,9419,494,14171
SVM,32,0.75,0.75,0.995,80,300,rbf,,42,1.0,balanced,5000,5,48.49,"(510522, 1024)",21.7,"(510522, 108)",15.8,0.93,136070,1.0,0.92,0.96,121405,0.6,0.97,0.74,14665,0.8,0.95,0.85,136070,0.95,0.93,0.93,136070,111992,9413,454,14211,2,111992,9413,454,14211
SVM,32,0.75,0.75,0.995,100,300,rbf,,42,1.0,balanced,5000,5,35.7,"(638153, 1024)",26.3,"(638153, 108)",17.68,0.93,136070,1.0,0.92,0.96,121405,0.6,0.97,0.74,14665,0.8,0.95,0.85,136070,0.95,0.93,0.93,136070,111897,9508,452,14213,2,111897,9508,452,14213
