model_name,patch_size,sharp_threshold,blur_threshold,PCA_components,sample_percentage,max_depth,min_samples_split,min_samples_leaf,class_weight,random_state,cpu_core,img_load_time,x_before,pca_time,x_after,train_time,accuracy,accuracy_support,class0_precision,class0_recall,class0_f1,class0_support,class1_precision,class1_recall,class1_f1,class1_support,class2_precision,class2_recall,class2_f1,class2_support,macro_p,macro_r,macro_f1,macro_support,weighted_precision,weighted_recall,weighted_f1,weighted_support,cm_size,cm_r0_c0,cm_r0_c1,cm_r0_c2,cm_r1_c0,cm_r1_c1,cm_r1_c2,cm_r2_c0,cm_r2_c1,cm_r2_c2
Decision Tree,32,0.75,0.4,0.95,100,16,50,20,balanced,42,5,23.09,"(638153, 1024)",28.23,"(638153, 6)",5.53,0.65,136070,0.81,0.87,0.84,65830,0.26,0.6,0.36,14665,0.72,0.4,0.51,55575,0.6,0.62,0.57,136070,0.71,0.65,0.66,136070,3,57567,3914,4349,1700,8774,4191,12156,21196,22223
Decision Tree,32,0.75,0.4,0.99,100,16,50,20,balanced,42,5,23.36,"(638153, 1024)",28.13,"(638153, 50)",45.43,0.83,136070,0.93,0.9,0.92,65830,0.55,0.81,0.65,14665,0.82,0.75,0.78,55575,0.77,0.82,0.78,136070,0.85,0.83,0.83,136070,3,59499,28,6303,34,11842,2789,4224,9732,41619
Decision Tree,32,0.75,0.4,0.995,100,16,50,20,balanced,42,5,22.55,"(638153, 1024)",28.6,"(638153, 108)",99.17,0.86,136070,0.93,0.92,0.92,65830,0.65,0.83,0.73,14665,0.85,0.8,0.82,55575,0.81,0.85,0.82,136070,0.86,0.86,0.86,136070,3,60309,8,5513,18,12218,2429,4727,6663,44185
Decision Tree,32,0.75,0.4,0.999,100,16,50,20,balanced,42,5,23.39,"(638153, 1024)",28.32,"(638153, 383)",349.45,0.87,136070,0.93,0.92,0.92,65830,0.71,0.86,0.78,14665,0.86,0.83,0.84,55575,0.83,0.87,0.85,136070,0.88,0.87,0.87,136070,3,60346,3,5481,12,12543,2110,4522,5092,45961
