model_name,patch_size,sharp_threshold,blur_threshold,PCA_components,sample_percentage,n_estimators,max_depth,random_state,class_weight,n_jobs,cpu_core,img_load_time,x_before,pca_time,x_after,train_time,accuracy,accuracy_support,class0_precision,class0_recall,class0_f1,class0_support,class1_precision,class1_recall,class1_f1,class1_support,class2_precision,class2_recall,class2_f1,class2_support,macro_p,macro_r,macro_f1,macro_support,weighted_precision,weighted_recall,weighted_f1,weighted_support,cm_size,cm_r0_c0,cm_r0_c1,cm_r0_c2,cm_r1_c0,cm_r1_c1,cm_r1_c2,cm_r2_c0,cm_r2_c1,cm_r2_c2
Random Forest,32,0.75,0.4,0.95,100,100,16,42,balanced_subsample,-1,5,21.6,"(638153, 1024)",27.1,"(638153, 6)",25.53,0.7,136070,0.81,0.89,0.85,65830,0.32,0.49,0.38,14665,0.72,0.54,0.62,55575,0.62,0.64,0.62,136070,0.72,0.7,0.7,136070,3,58407,1889,5534,1689,7182,5794,12161,13593,29821
Random Forest,32,0.75,0.4,0.99,100,100,16,42,balanced_subsample,-1,5,21.25,"(638153, 1024)",27.73,"(638153, 50)",82.96,0.89,136070,0.97,0.92,0.94,65830,0.69,0.82,0.75,14665,0.86,0.87,0.86,55575,0.84,0.87,0.85,136070,0.89,0.89,0.89,136070,3,60280,0,5550,2,12077,2586,1662,5528,48385
Random Forest,32,0.75,0.4,0.995,100,100,16,42,balanced_subsample,-1,5,21.57,"(638153, 1024)",28.56,"(638153, 108)",116.74,0.91,136070,0.97,0.91,0.94,65830,0.75,0.91,0.83,14665,0.88,0.89,0.88,55575,0.87,0.91,0.88,136070,0.91,0.91,0.91,136070,3,60151,0,5679,0,13355,1310,1590,4334,49651
Random Forest,32,0.75,0.4,0.999,100,100,16,42,balanced_subsample,-1,5,36.87,"(638153, 1024)",27.06,"(638153, 383)",223.02,0.9,136070,0.96,0.89,0.93,65830,0.84,0.94,0.88,14665,0.86,0.91,0.89,55575,0.89,0.91,0.9,136070,0.91,0.9,0.9,136070,3,58691,0,7139,0,13733,932,2281,2680,50614
