model_name,patch_size,sharp_threshold,blur_threshold,PCA_components,sample_percentage,nystroem_components,nystroem_kernel,nystroem_gamma,random_state,svc_c,class_weight,max_iter,cpu_core,img_load_time,x_before,pca_time,x_after,train_time,accuracy,accuracy_support,class0_precision,class0_recall,class0_f1,class0_support,class1_precision,class1_recall,class1_f1,class1_support,class2_precision,class2_recall,class2_f1,class2_support,macro_p,macro_r,macro_f1,macro_support,weighted_precision,weighted_recall,weighted_f1,weighted_support,cm_size,cm_r0_c0,cm_r0_c1,cm_r0_c2,cm_r1_c0,cm_r1_c1,cm_r1_c2,cm_r2_c0,cm_r2_c1,cm_r2_c2
SVM,32,0.75,0.4,0.995,20,300,rbf,,42,1.0,balanced,5000,5,2.09,"(127631, 1024)",5.69,"(127631, 107)",14.52,0.92,136070,0.95,0.98,0.96,65830,0.76,0.86,0.81,14665,0.93,0.86,0.89,55575,0.88,0.9,0.89,136070,0.92,0.92,0.92,136070,3,64388,0,1442,1,12633,2031,3691,4068,47816
SVM,32,0.75,0.4,0.995,40,300,rbf,,42,1.0,balanced,5000,5,14.13,"(255261, 1024)",10.45,"(255261, 108)",29.2,0.92,136070,0.95,0.98,0.96,65830,0.76,0.86,0.81,14665,0.93,0.87,0.9,55575,0.88,0.9,0.89,136070,0.92,0.92,0.92,136070,3,64332,0,1498,0,12611,2054,3466,4036,48073
SVM,32,0.75,0.4,0.995,60,300,rbf,,42,1.0,balanced,5000,5,21.97,"(382892, 1024)",16.91,"(382892, 109)",53.38,0.92,136070,0.95,0.98,0.96,65830,0.76,0.86,0.81,14665,0.93,0.87,0.9,55575,0.88,0.9,0.89,136070,0.92,0.92,0.92,136070,3,64346,0,1484,2,12587,2076,3345,3895,48335
SVM,32,0.75,0.4,0.995,80,300,rbf,,42,1.0,balanced,5000,5,48.41,"(510522, 1024)",20.81,"(510522, 108)",74.62,0.92,136070,0.95,0.98,0.96,65830,0.76,0.86,0.81,14665,0.93,0.87,0.9,55575,0.88,0.9,0.89,136070,0.92,0.92,0.92,136070,3,64279,1,1550,1,12651,2013,3352,3958,48265
SVM,32,0.75,0.4,0.995,100,300,rbf,,42,1.0,balanced,5000,5,35.64,"(638153, 1024)",26.49,"(638153, 108)",92.03,0.92,136070,0.95,0.98,0.96,65830,0.76,0.86,0.81,14665,0.93,0.87,0.9,55575,0.88,0.9,0.89,136070,0.92,0.92,0.92,136070,3,64323,0,1507,0,12615,2050,3380,3979,48216
