model_name,patch_size,sharp_threshold,blur_threshold,PCA_components,sample_percentage,n_estimators,max_depth,random_state,class_weight,n_jobs,cpu_core,img_load_time,x_before,pca_time,x_after,train_time,accuracy,accuracy_support,class0_precision,class0_recall,class0_f1,class0_support,class1_precision,class1_recall,class1_f1,class1_support,macro_p,macro_r,macro_f1,macro_support,weighted_precision,weighted_recall,weighted_f1,weighted_support,cm_tn,cm_fp,cm_fn,cm_tp,cm_size,cm_r0_c0,cm_r0_c1,cm_r1_c0,cm_r1_c1
Random Forest,32,0.75,0.75,0.95,100,100,16,42,balanced_subsample,-1,5,21.31,"(638153, 1024)",29.42,"(638153, 6)",26.34,0.76,136070,0.96,0.76,0.85,121405,0.27,0.73,0.4,14665,0.61,0.75,0.62,136070,0.88,0.76,0.8,136070,92513,28892,3937,10728,2,92513,28892,3937,10728
Random Forest,32,0.75,0.75,0.99,100,100,16,42,balanced_subsample,-1,5,21.28,"(638153, 1024)",26.95,"(638153, 50)",95.94,0.91,136070,0.99,0.91,0.95,121405,0.56,0.92,0.7,14665,0.78,0.92,0.82,136070,0.94,0.91,0.92,136070,110910,10495,1173,13492,2,110910,10495,1173,13492
Random Forest,32,0.75,0.75,0.995,100,100,16,42,balanced_subsample,-1,5,21.63,"(638153, 1024)",28.92,"(638153, 108)",129.81,0.94,136070,0.99,0.94,0.97,121405,0.66,0.96,0.78,14665,0.83,0.95,0.87,136070,0.96,0.94,0.95,136070,114012,7393,588,14077,2,114012,7393,588,14077
Random Forest,32,0.75,0.75,0.999,100,100,16,42,balanced_subsample,-1,5,53.82,"(638153, 1024)",28.14,"(638153, 383)",260.94,0.96,136070,1.0,0.96,0.98,121405,0.73,0.98,0.83,14665,0.86,0.97,0.91,136070,0.97,0.96,0.96,136070,116074,5331,360,14305,2,116074,5331,360,14305
